name;goals_top5l;games_start;assists;shots_tot;shots_on_gs;rank
bojan krkic;20;47;11;139;62;828
lionel messi;87;198;47;600;275;1
pedro;12;38;4;71;37;57
jeffren;2;6;0;7;4;1713
david villa;108;233;35;724;328;9
benzema;52;132;17;453;184;756
higuain;59;131;29;335;166;3
cristiano;101;246;51;1322;579;2
nilmar;11;44;5;83;39;51
rossi;43;136;19;407;188;22
ruben;7;60;3;76;36;1618
aduriz;45;130;20;283;118;110
mata;25;82;18;144;60;157
soldado;42;89;9;259;107;33
garcia;41;190;27;344;111;718
osvaldo;15;37;1;155;53;51
alonso;20;62;4;154;56;1693
aguero;54;194;31;431;187;38
forlan;95;208;25;628;255;113
costa;8;66;5;83;37;515
manu;28;108;11;298;117;270
colunga;16;41;3;108;51;819
lorente;42;124;16;347;134;136
munian;4;4;3;16;10;914
lorente2;39;87;11;230;116;205
webo;26;85;12;203;71;475
tamudo;41;113;8;216;91;1575
cavenaghi;33;55;8;108;94;1678
fabiano;62;154;17;426;157;27
kanoute;73;177;18;397;148;276
kone;1;63;3;53;14;1666
negrado;43;116;16;269;114;393
perotti;5;55;5;46;25;772
trezeguett;51;106;8;182;86;221
valdez;17;136;12;280;93;455
riki;30;95;12;307;82;1312
adrian;8;53;4;80;30;742
rosenberg;30;65;17;199;86;713
munitis;13;161;42;213;51;839
aranda;11;45;7;87;38;460
pandiani;35;101;10;250;97;685
caicedo;9;68;3;92;45;369
piatti;12;89;9;129;58;384
ulloa;0;105;6;55;37;1425
uche;20;68;5;166;63;270
juanmi;0;0;1;2;1;1753
owusu;0;26;4;40;25;1280
bilic;18;67;4;134;48;1479
sinama;28;92;13;162;66;1528
i. uche;19;78;12;148;62;2266
berbatov;69;208;44;503;262;5
owen;29;92;8;173;101;2054
rooney;80;243;66;983;436;12
macheda;3;8;2;20;7;1815
balotelli;20;42;13;153;56;1174
adebayor;51;174;22;403;194;1026
santa cruz;32;90;10;181;82;1795
jo;6;64;7;102;38;1898
tevez;49;165;32;488;227;17
bendtner;20;115;28;301;151;340
hamakh;39;155;17;225;107;102
van persie;43;147;38;543;230;990
defoe;63;147;25;537;277;660
crouch;39;184;33;566;250;704
anelka;52;187;32;516;268;87
keane;58;202;33;406;233;2054
drogba;74;201;44;694;294;20
kalu;32;159;33;251;112;91
davies;38;196;35;290;143;964
elmander;30;145;15;272;111;257
klasnic;37;100;8;227;95;1703
bent;74;160;13;418;231;257
welbeck;1;23;3;38;16;932
gyan;25;68;7;197;69;341
varney;5;142;17;286;167;1087
harenwood;22;76;6;195;94;1790
biram diouf;1;0;0;8;1;1368
kalinic;2;21;3;46;9;1150
roberts;27;103;16;196;115;1390
fuller;14;150;19;378;177;515
kenwyne;26;150;24;340;181;290
gudjonsen;13;104;10;159;78;1845
cahill;34;175;21;304;148;49
saha;39;104;13;364;165;917
yacubu;49;156;21;339;179;312
torres;83;210;22;575;238;63
ngog;8;31;1;91;33;1268
karroll;3;49;10;145;51;422
ameobi;16;70;8;146;71;1477
miller;3;45;11;192;110;653
fortune;17;81;6;175;67;1693
heskey;26;173;17;262;121;1475
carew;46;151;12;361;171;1014
agbonlahor;46;179;30;287;156;449
jerome;52;155;10;372;179;558
zigic;30;59;8;160;62;1324
phillips;8;119;19;346;203;1895
kamara;11;108;14;227;108;1660
dembele;24;176;4;64;33;1924
zamora;28;135;22;290;117;1641
rodallega;13;47;4;188;63;346
di santo;1;16;3;39;18;1731
Piquionne;31;130;15;229;87;811
cole;26;89;17;293;128;698
mcCarthy;37;109;10;217;101;2119
obina;16;60;4;119;41;723
fletcher;8;156;16;291;114;1200
ebanks-blake;2;129;18;286;161;1160
ronaldinho;66;198;54;517;168;104
pato;36;81;8;249;103;375
ibrahimovic;80;205;32;578;234;14
robinho;39;174;35;460;193;485
inzaghi;40;86;8;249;105;1607
cavagi;34;93;5;262;92;63
lavezzi;23;92;22;252;83;93
lucarelli;54;123;5;210;66;1445
floccari;37;122;19;247;101;133
rocchi;61;157;21;299;121;1210
zarate;20;93;17;329;119;221
amauri;51;146;10;291;118;1412
del piero;55;129;20;366;139;440
iaquinta;49;114;17;241;94;1147
quagialera;52;164;16;520;175;98
baptista;26;101;7;329;116;1728
adriano;22;87;11;164;44;1983
boriello;42;96;7;281;106;69
vucinic;45;147;21;346;149;166
totti;82;167;32;461;113;796
hernandez;7;8;2;32;13;1412
miccoli;41;89;21;376;145;290
maccarone;40;108;9;329;126;627
etoo;95;195;36;614;243;97
milito;99;187;22;426;178;180
pandev;48;163;16;246;119;756
suazo;47;122;5;146;61;1882
cassano;35;112;29;277;125;947
pozzi;18;48;2;88;31;1511
pazzini;51;121;11;296;114;290
floro flores;19;59;9;233;92;296
di natale;78;173;25;455;198;18
sanchez;8;44;5;104;34;102
palladino;11;67;7;101;42;1431
toni;90;184;25;476;219;601
sculli;18;82;8;168;70;791
granoche;3;10;1;31;15;1451
pellissier;46;122;8;214;88;262
mascara;30;131;18;286;86;649
lopez;14;36;3;76;32;333
morimoto;14;40;6;105;41;1801
acquafresca;27;67;2;163;75;1125
matri;25;61;11;164;67;336
nene;8;42;1;63;38;737
gimenez;3;67;1;46;36;1561
di vaio;47;97;7;263;96;238
mutu;57;151;20;466;185;1745
gilardino;70;198;18;356;154;59
jovetic;8;58;9;192;63;698
bojinov;15;37;2;79;24;1151
crespo;36;106;13;197;85;592
bogdani;23;113;4;121;46;1116
budan;29;61;6;128;52;1828
diamanti;11;33;5;180;64;763
carraccioli;15;67;0;77;31;1055
di michel;29;105;10;208;70;1116
oliveira;4;41;3;47;15;1170
chevanton;10;13;5;87;30;1809
kutuzov;4;55;1;20;8;1603
baretto;24;62;9;69;32;596
barrios;19;33;5;108;56;6
Gro§kreutz;5;53;9;88;36;148
lewandowski;0;7;1;9;3;1581
zidan;38;92;12;155;52;1587
dedriyok;12;66;6;121;48;515
kiessling;51;124;17;315;135;636
Schlaufdry;15;63;9;71;29;1657
Ya Konan;9;24;2;78;39;369
Klose;61;205;35;383;169;1274
Gomez;74;145;24;439;169;13
olic;40;106;13;312;141;475
schurle;5;25;2;38;18;384
szalai;1;8;1;69;8;791
allagui;0;75;9;202;93;1431
eigler;18;84;12;215;77;1511
schieben;3;7;1;56;23;592
nisterlooy;72;146;18;351;192;120
elia;5;130;14;50;24;1421
guerrero;27;87;12;235;86;1412
petric;33;76;5;267;99;627
reisinger;3;43;6;82;40;1753
cisse;6;64;1;62;38;34
babbel;11;119;18;177;77;1490
ibicevic;36;66;12;205;78;199
Raul;53;173;22;321;143;60
farfan;17;183;17;160;60;415
charisteas;8;42;6;96;37;1855
huntelaar;15;191;5;107;53;168
nowakovic;22;93;5;144;58;696
podolski;29;156;24;324;125;551
almeida;32;99;15;363;141;250
pizarro;54;141;17;368;156;184
arnautovic;0;35;5;25;17;1143
lakic;0;32;4;101;46;776
altintop;39;132;10;174;59;749
gekas;39;68;8;207;103;93
harnik;1;42;1;95;45;1587
pogrebniak;6;36;7;59;26;272
cacau;42;108;21;381;143;78
asamoah;12;48;5;92;32;1467
ebbers;2;77;11;151;73;1076
dzeko;56;88;21;385;165;70
grafite;64;118;18;310;152;170
de camargo;0;38;0;21;11;1481
idrisu;9;75;8;174;64;548
gervinho;21;74;12;147;64;67
sow;12;27;5;99;43;248
frau;25;98;9;185;74;772
montano;11;82;3;99;50;548
boukari;4;60;4;80;31;1070
ekoko;3;11;0;67;16;1359
lopez2;15;86;11;185;86;148
gomis;44;103;17;394;130;379
briand;29;106;24;246;85;311
gignac;43;109;14;451;180;221
brandao;15;62;6;167;59;464
remy;28;75;5;248;82;125
ayew;3;36;4;38;16;166
nene2;40;181;28;426;151;76
hoarau;23;70;5;154;67;317
aubameyang;2;27;10;24;15;455
erding;37;90;10;275;128;104
riviera;9;21;4;55;26;354
giroud;0;61;0;31;30;876
camara;10;63;3;71;53;768
ait-fana;5;44;4;47;24;1156
modeste;3;54;0;86;41;1300
goufran;17;81;14;178;67;636
gameiro;34;93;14;251;107;209
kitambala;13;28;1;20;5;814
maiga;15;53;15;111;36;333
pentecote;0;14;1;22;15;2249
ideye;2;17;0;41;16;317
roux;0;30;0;45;15;913
poyet;0;71;0;20;10;1134
el-arabi;0;23;0;25;11;857
traore;0;44;1;39;22;1320
hadijt;30;102;11;270;97;302
vahirua;23;93;21;213;87;1163
ljuboja;16;39;3;135;49;713
pujol;28;95;12;230;81;365
samassa;13;40;5;76;27;1478
jelen;43;98;6;252;117;308
licata;7;11;2;50;18;2467
quercia;6;40;2;98;22;1384
niculae;15;98;13;233;90;566
chu-yang;13;57;9;103;41;592
jemaa;10;44;1;93;41;1430
dos santos;5;74;2;55;26;2354
djadjede;1;40;0;21;7;1125
